direction	xi	N
10	-1.506122E+01	6.500000E+01
15	-1.506122E+01	7.100000E+01
20	-1.506122E+01	6.100000E+01
25	-1.506122E+01	5.900000E+01
30	-1.506122E+01	4.500000E+01
35	-1.506122E+01	6.100000E+01
40	-1.506122E+01	5.400000E+01
45	-1.506122E+01	5.100000E+01
50	-1.506122E+01	4.900000E+01
55	-1.506122E+01	4.100000E+01
60	-1.506122E+01	4.100000E+01
65	-1.506122E+01	3.200000E+01
70	-1.506122E+01	3.600000E+01
75	-1.506122E+01	2.800000E+01
80	-1.506122E+01	3.600000E+01
85	-1.506122E+01	2.600000E+01
90	-1.506122E+01	2.100000E+01
95	-1.506122E+01	2.500000E+01
100	-1.506122E+01	3.400000E+01
105	-1.506122E+01	4.300000E+01
110	-1.506122E+01	4.400000E+01
115	-1.506122E+01	3.700000E+01
120	-1.506122E+01	3.600000E+01
125	-1.506122E+01	4.000000E+01
130	-1.506122E+01	3.300000E+01
135	-1.506122E+01	4.300000E+01
140	-1.506122E+01	4.800000E+01
145	-1.506122E+01	6.100000E+01
150	-1.506122E+01	6.800000E+01
155	-1.506122E+01	6.700000E+01
160	-1.506122E+01	7.600000E+01
165	-1.506122E+01	6.700000E+01
170	-1.506122E+01	7.000000E+01
175	-1.506122E+01	7.500000E+01
0	-1.432653E+01	8.200000E+01
5	-1.432653E+01	8.400000E+01
10	-1.432653E+01	6.500000E+01
15	-1.432653E+01	7.800000E+01
20	-1.432653E+01	7.100000E+01
25	-1.432653E+01	6.800000E+01
30	-1.432653E+01	6.000000E+01
35	-1.432653E+01	6.500000E+01
40	-1.432653E+01	5.700000E+01
45	-1.432653E+01	6.200000E+01
50	-1.432653E+01	5.500000E+01
55	-1.432653E+01	5.100000E+01
60	-1.432653E+01	5.500000E+01
65	-1.432653E+01	4.600000E+01
70	-1.432653E+01	4.300000E+01
75	-1.432653E+01	4.100000E+01
80	-1.432653E+01	4.200000E+01
85	-1.432653E+01	4.000000E+01
90	-1.432653E+01	3.200000E+01
95	-1.432653E+01	3.400000E+01
100	-1.432653E+01	3.700000E+01
105	-1.432653E+01	4.700000E+01
110	-1.432653E+01	4.600000E+01
115	-1.432653E+01	4.200000E+01
120	-1.432653E+01	4.400000E+01
125	-1.432653E+01	4.200000E+01
130	-1.432653E+01	4.200000E+01
135	-1.432653E+01	5.100000E+01
140	-1.432653E+01	6.000000E+01
145	-1.432653E+01	7.400000E+01
150	-1.432653E+01	7.700000E+01
155	-1.432653E+01	7.600000E+01
160	-1.432653E+01	7.500000E+01
165	-1.432653E+01	7.600000E+01
170	-1.432653E+01	6.900000E+01
175	-1.432653E+01	8.300000E+01
0	-1.359184E+01	9.800000E+01
5	-1.359184E+01	8.600000E+01
10	-1.359184E+01	8.700000E+01
15	-1.359184E+01	8.400000E+01
20	-1.359184E+01	7.800000E+01
25	-1.359184E+01	8.500000E+01
30	-1.359184E+01	8.700000E+01
35	-1.359184E+01	7.000000E+01
40	-1.359184E+01	7.300000E+01
45	-1.359184E+01	6.700000E+01
50	-1.359184E+01	6.000000E+01
55	-1.359184E+01	6.200000E+01
60	-1.359184E+01	6.400000E+01
65	-1.359184E+01	5.800000E+01
70	-1.359184E+01	5.800000E+01
75	-1.359184E+01	5.600000E+01
80	-1.359184E+01	4.400000E+01
85	-1.359184E+01	4.400000E+01
90	-1.359184E+01	4.700000E+01
95	-1.359184E+01	4.600000E+01
100	-1.359184E+01	5.000000E+01
105	-1.359184E+01	4.700000E+01
110	-1.359184E+01	3.900000E+01
115	-1.359184E+01	3.800000E+01
120	-1.359184E+01	4.900000E+01
125	-1.359184E+01	4.700000E+01
130	-1.359184E+01	6.000000E+01
135	-1.359184E+01	6.600000E+01
140	-1.359184E+01	7.300000E+01
145	-1.359184E+01	6.400000E+01
150	-1.359184E+01	8.000000E+01
155	-1.359184E+01	8.900000E+01
160	-1.359184E+01	6.600000E+01
165	-1.359184E+01	7.300000E+01
170	-1.359184E+01	7.900000E+01
175	-1.359184E+01	7.700000E+01
0	-1.285714E+01	1.050000E+02
5	-1.285714E+01	1.100000E+02
10	-1.285714E+01	1.080000E+02
15	-1.285714E+01	1.010000E+02
20	-1.285714E+01	8.700000E+01
25	-1.285714E+01	7.900000E+01
30	-1.285714E+01	8.200000E+01
35	-1.285714E+01	8.000000E+01
40	-1.285714E+01	7.600000E+01
45	-1.285714E+01	6.300000E+01
50	-1.285714E+01	6.100000E+01
55	-1.285714E+01	7.500000E+01
60	-1.285714E+01	7.800000E+01
65	-1.285714E+01	8.100000E+01
70	-1.285714E+01	8.000000E+01
75	-1.285714E+01	6.500000E+01
80	-1.285714E+01	6.600000E+01
85	-1.285714E+01	5.200000E+01
90	-1.285714E+01	5.100000E+01
95	-1.285714E+01	4.800000E+01
100	-1.285714E+01	6.100000E+01
105	-1.285714E+01	5.100000E+01
110	-1.285714E+01	6.200000E+01
115	-1.285714E+01	4.900000E+01
120	-1.285714E+01	5.400000E+01
125	-1.285714E+01	6.100000E+01
130	-1.285714E+01	7.800000E+01
135	-1.285714E+01	7.500000E+01
140	-1.285714E+01	6.700000E+01
145	-1.285714E+01	6.900000E+01
150	-1.285714E+01	8.400000E+01
155	-1.285714E+01	8.700000E+01
160	-1.285714E+01	8.300000E+01
165	-1.285714E+01	7.800000E+01
170	-1.285714E+01	9.400000E+01
175	-1.285714E+01	9.700000E+01
0	-1.212245E+01	9.300000E+01
5	-1.212245E+01	9.900000E+01
10	-1.212245E+01	1.000000E+02
15	-1.212245E+01	9.200000E+01
20	-1.212245E+01	8.900000E+01
25	-1.212245E+01	7.900000E+01
30	-1.212245E+01	8.500000E+01
35	-1.212245E+01	8.300000E+01
40	-1.212245E+01	7.900000E+01
45	-1.212245E+01	7.400000E+01
50	-1.212245E+01	6.500000E+01
55	-1.212245E+01	7.300000E+01
60	-1.212245E+01	9.200000E+01
65	-1.212245E+01	8.500000E+01
70	-1.212245E+01	8.800000E+01
75	-1.212245E+01	8.300000E+01
80	-1.212245E+01	8.700000E+01
85	-1.212245E+01	7.200000E+01
90	-1.212245E+01	6.000000E+01
95	-1.212245E+01	6.600000E+01
100	-1.212245E+01	6.400000E+01
