            18.18151             1.16066
            17.42384             1.44498
            16.66617             1.66281
            15.90850             2.04098
            15.15083             2.35933
            14.39316             2.77057
            13.63549             3.23212
            12.87782             3.90460
            12.12016             4.61509
            11.36249             5.19453
            10.60482             6.06375
             9.84715             7.01414
             9.08948             8.27036
             8.33181             9.11911
             7.57414            10.18920
             6.81647            11.56029
             6.05880            12.60536
             5.30113            13.64107
             4.54346            15.08840
             3.78579            16.29881
             3.02812            16.88612
             2.27045            17.32439
             1.51278            17.99162
             0.75511            17.49292
            -0.00256            18.22806
            -0.76023            18.05780
            -1.51789            17.95991
            -2.27556            18.72682
            -3.03323            17.99535
            -3.79090            17.00034
            -4.54857            16.80998
            -5.30624            15.12133
            -6.06391            14.57942
            -6.82158            12.90450
            -7.57925            11.62826
            -8.33692            10.38861
            -9.09459             8.83127
            -9.85226             7.91613
           -10.60993             6.85093
           -11.36760             6.02416
           -12.12527             5.00125
           -12.88294             4.29366
           -13.64061             3.57026
           -14.39828             3.01183
           -15.15594             2.50466
           -15.91361             2.19887
           -16.67128             1.80557
           -17.42895             1.56638
           -18.18662             1.23565
